Time;[95:17];[95:34];[500:10]
time;HEX1\HEX1 Temperatuur downstream (S4);HEX1\HEX1 Druk downstream (S8);DNST\Flexim Pers5 Debiet thermische olie
sec;°C;bar;m³/h

stoptime;19.10.2022 16:32:22.422073
signalCount;2395

12.10.2022 16:32:22.422073;214,304;5,08928;392,263
12.10.2022 17:32:22.422073;210,109;5,03622;426,998
12.10.2022 18:32:22.422073;261,467;4,80381;431,412
12.10.2022 19:32:22.422073;259,715;5,11077;407,193
12.10.2022 20:32:22.422073;252,711;5,04077;432,551
12.10.2022 21:32:22.422073;245,711;5,05018;453,345
12.10.2022 22:32:22.422073;239,211;5,05092;436,019
12.10.2022 23:32:22.422073;233,211;5,02772;463,406
13.10.2022 00:32:22.422073;227,493;5,10318;396,165
13.10.2022 01:32:22.422073;222,109;5,03099;432,199
13.10.2022 02:32:22.422073;217,594;5,01406;437,377
13.10.2022 03:32:22.422073;212,804;5,03108;453,718
13.10.2022 04:32:22.422073;259,41;4,75212;431,34
13.10.2022 05:32:22.422073;269,282;4,77177;436,181
13.10.2022 06:32:22.422073;286,282;4,92131;351,017
13.10.2022 07:32:22.422073;279,891;4,90868;380,026
13.10.2022 08:32:22.422073;281,891;4,90236;375,454
13.10.2022 09:32:22.422073;277,985;4,80358;420,23
13.10.2022 10:32:22.422073;277,718;4,79959;420,465
13.10.2022 11:32:22.422073;277,812;4,77602;425,097
13.10.2022 12:32:22.422073;278,718;4,78783;430,131
13.10.2022 13:32:22.422073;278,26;4,78665;417,129
13.10.2022 14:32:22.422073;278,188;4,75777;426,835
13.10.2022 15:32:22.422073;278,515;4,76553;429,127
13.10.2022 16:32:22.422073;275,515;4,80698;406,969
13.10.2022 17:32:22.422073;277,473;4,84131;384,259
13.10.2022 18:32:22.422073;278,188;4,75075;425,417
13.10.2022 19:32:22.422073;278,579;4,80451;411,076
13.10.2022 20:32:22.422073;277,515;4,79301;400,288
13.10.2022 21:32:22.422073;279,579;4,78996;391,299
13.10.2022 22:32:22.422073;277,985;4,78906;408,725
13.10.2022 23:32:22.422073;277,515;4,80883;397,705
14.10.2022 00:32:22.422073;277,222;4,80603;387,092
14.10.2022 01:32:22.422073;281,685;4,84124;386,848
14.10.2022 02:32:22.422073;274,718;4,79911;388,491
